;Open;High;Low;Close;Date;Values
2023-01-12 19:17:16;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:18;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:20;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:25;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:26;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:27;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:32;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:37;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:17:41;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:18:02;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:18:05;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:18:08;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:18:13;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:18:41;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:18:57;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:18:58;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:19:02;7824,3;7824,3;7823,8;7823,8;;
2023-01-12 19:19:03;7823,8;7823,8;7823,8;7823,8;;
2023-01-12 19:19:04;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:19:05;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:19:06;7824,3;7824,3;7824,3;7824,3;;
2023-01-12 19:19:09;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:19:14;7824,8;7824,8;7824,3;7824,3;;
2023-01-12 19:19:15;7824,3;7824,8;7824,3;7824,8;;
2023-01-12 19:19:17;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:19:19;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:19:20;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:19:21;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:19:40;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:19:42;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:19:44;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:19:47;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:19:52;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:19:53;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:20:01;7824,8;7824,8;7824,8;7824,8;;
2023-01-12 19:20:02;7824,8;7824,8;7824,3;7824,3;;
2023-01-12 19:20:04;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:20:05;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:20:07;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:20:10;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:20:13;7825,3;7825,8;7825,3;7825,8;;
2023-01-12 19:20:20;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:20:33;7826,7;7826,7;7826,3;7826,3;;
2023-01-12 19:20:37;7826,7;7826,7;7826,3;7826,3;;
2023-01-12 19:20:43;7826,8;7826,8;7826,3;7826,3;;
2023-01-12 19:20:44;7826,8;7826,8;7826,3;7826,3;;
2023-01-12 19:20:45;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:20:46;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:20:47;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:20:48;7825,8;7826,3;7825,8;7826,3;;
2023-01-12 19:20:49;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:20:51;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:21:02;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:21:15;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:21:17;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:21:22;7826,3;7826,3;7826,3;7826,3;;
